title,security,nature,nutritional_value,quality,rate,site,page
"Колбаса варено-копченая ""Эколь"", Суджук классический",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/ekol-sudguk-klassicheskiy/
"Колбаса варено-копченая ""Мясной дом Бородина"", Сервелат Российский",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/myasnoy-dom-borodina-servelat-rossiyskiy/
"Колбаса полукопченая ""Мортадель"", Краковская",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/mortadel-krakovskaya-1/
"Колбаса полукопченая ""Заповедные продукты"", Одесская",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/zapovednie-produkti-odesskaya/
"Колбаса полукопченая ""АМК"", Краковская",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/amk-krakovskaya/
"Колбаса полукопченая ""Рамен"", Краковская",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/ramen-krakovskaya/
"Колбаса полукопченая ""Мясницкий ряд"", Одесская",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/myasnitskiy-ryad-odesskaya/
"Колбаса варено-копченая ""Малаховский"", Московская",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/malahovskiy-moskovskaya/
"Колбаса полукопченая ""Ремит"", Краковская",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/remit-krakovskaya/
"Колбаса полукопченая ""СПб"", Одесская",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/spb-odesskaya/
"Колбаса варено-копченая ""Метатр"", Сервелат",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/metatr-servelat/
"Колбаса полукопченая ""Наро-фоминский мясокомбинат"", Краковская",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/naro-fominskiy-myasokombinat-krakovskaya/
"Колбаса варено-копченая ""Снежана"", Сервелат",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/snegana-servelat/
"Колбаса варено-копченая ""Заповедные продукты"", Сервелат",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/zapovednie-produkti-servelat/
"Колбаса варено-копченая ""Дымов"", сервелат",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/dimov-servelat/
"Колбаса варено-копченая ""Рублевский"", Сервелат",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/rublevskiy-servelat/
"Колбаса варено-копченая ""Егорьевская"", Московская",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/egorevskaya-moskovskaya/
"Колбаса варено-копченая ""Мясной дом Бородина"", Сервелат",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/myasnoy-dom-borodina-servelat/
